Geographic Area Name,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
Alabama,595426.896,1145478.376,1173689.668,782453.06
Alaska,48946.84,162399.86,197908.936,134463.77
Arizona,727070.608,1237420.964,1755540.542,1214291.092
Arkansas,338371.584,784143.264,686601.012,428386.14
California,5175544.02,6251002.404,9360636.06,8014941.516
Colorado,400540.626,894188.452,1315568.846,1345465.455
Connecticut,292824.528,783500.769,767655.453,956058.228
Delaware,87045.58,223305.02,210816.9,190910.94
District of Columbia,59690.634,99708.544,110352.112,253119.71
Florida,2118500.069,4578848.094,4874157.092,3758593.492
Georgia,1147301.58,2123495.954,2274052.23,1879348.236
Hawaii,102802.509,323670.168,364390.605,298568.718
Idaho,125608.962,332902.612,443763.456,268859.16
Illinois,1238019.549,2654308.316,3066121.544,2853754.591
Indiana,650334.81,1707813.735,1528020.9,1057466.61
Iowa,207278.017,739725.759,836390.784,568439.967
Kansas,224491.108,593053.272,754687.98,590833.82
Kentucky,539964.543,1151287.401,1003873.794,670672.698
Louisiana,605879.486,1179828.683,1002902.036,697165.4
Maine,93858.065,366393.512,328644.837,276202.62
Maryland,506982.489,1201880.205,1301541.48,1535765.454
Massachusetts,549598.136,1372880.131,1430486.236,1892612.777
Michigan,854330.604,2302563.39,2654816.649,1805021.076
Minnesota,334131.96,1077747.546,1434942.276,1254517.218
Mississippi,396645.067,680371.885,749784.901,412367.115
Missouri,564897.378,1450457.497,1486117.775,1112785.709
Montana,65459.093,233734.683,276824.212,208983.012
Nebraska,137883.135,380581.451,505208.167,370257.155
Nevada,331502.879,612865.538,722858.622,427281.961
New Hampshire,88514.958,308063.689,318547.353,331615.696
New Jersey,804759.684,1962463.524,1768266.516,2295524.424
New Mexico,257014.52,418898.89,528681.18,365095.41
New York,2216468.567,4080198.209,4275198.51,4737385.714
North Carolina,1131328.151,2038520.061,2443338.749,1861373.922
North Dakota,45717.12,151696.888,212912.566,135203.426
Ohio,1034017.04,3023856.52,2769097.032,2058442.992
Oklahoma,396674.064,913528.176,950648.928,620563.368
Oregon,315703.347,781032.107,1114031.753,827472.958
Pennsylvania,1134481.107,3632458.751,2687619.358,2580279.101
Rhode Island,112927.454,232256.952,250919.809,237938.056
South Carolina,558117.723,1091923.309,1168458.274,827399.31
South Dakota,65197.3,201484.164,213398.192,149681.476
Tennessee,720617.682,1655567.219,1477655.049,1108186.05
Texas,3527012.016,4939357.857,6033853.259,4577804.868
Utah,189219.178,473583.181,778206.552,527090.089
Vermont,42818.084,150057.206,146549.23,162697.48
Virginia,761120.621,1648084.719,1880777.968,2047582.927
Washington,550583.932,1300905.783,1922475.83,1538017.455
West Virginia,224885.059,588904.742,402660.437,254742.762
Wisconsin,424573.868,1416505.436,1467464.046,1097805.958
Wyoming,40506.046,133876.388,167736.432,97741.994
Puerto Rico,717688.476,761319.14,725846.312,612869.072
,33880876.75,68550100.4,76322698.44,64312101.21
