Geographic Area Name,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
Alabama,567874,1167675,1187115,827907
Alaska,47043,159468,201321,144209
Arizona,745160,1314183,1840438,1306756
Arkansas,326380,768605,723420,453855
California,5134289,6596582,9500331,8797198
Colorado,394471,954714,1351087,1499530
Connecticut,280249,776481,770785,1000046
Delaware,84929,222150,222941,211714
District of Columbia,53280,101471,111793,287846
Florida,2072173,4728786,5119233,4248091
Georgia,1094502,2207057,2328101,2082786
Hawaii,98514,319179,382609,320095
Idaho,128356,346653,462634,285106
Illinois,1145813,2671441,3073842,3008714
Indiana,622048,1708182,1558172,1151544
Iowa,206578,748559,851590,588419
Kansas,221545,591106,752661,626095
Kentucky,504337,1150810,1031267,728095
Louisiana,553361,1206966,1042051,752161
Maine,93023,349181,330957,300308
Maryland,486692,1188898,1313949,1669130
Massachusetts,530769,1376996,1426536,2072927
Michigan,791119,2264388,2693023,1966222
Minnesota,333842,1080166,1443611,1349077
Mississippi,371967,695901,770604,425854
Missouri,535718,1448625,1509271,1197492
Montana,61793,258049,264704,222176
Nebraska,133210,382388,513541,396421
Nevada,330692,637947,777209,476442
New Hampshire,79068,308441,329565,350203
New Jersey,766953,1973055,1780316,2438824
New Mexico,249250,431980,530312,374151
New York,2146923,4123246,4228222,5084233
North Carolina,1050684,2091361,2527683,2085024
North Dakota,46592,160260,223139,155623
Ohio,962691,3020089,2779759,2221076
Oklahoma,390912,935572,963965,659792
Oregon,334691,764634,1131565,936935
Pennsylvania,1067650,3572883,2686153,2783797
Rhode Island,101158,236916,252648,253701
South Carolina,516238,1141564,1216641,932395
South Dakota,62215,201801,221594,163179
Tennessee,690053,1712293,1495221,1208932
Texas,3516819,5322049,6245189,5176273
Utah,191156,527705,786657,578068
Vermont,42088,144842,147122,171830
Virginia,714031,1651876,1946480,2200792
Washington,540883,1337645,1939337,1740516
West Virginia,201112,590484,405568,267517
Wisconsin,397750,1399773,1506948,1174827
Wyoming,39378,131587,170924,104718
Puerto Rico,635941,748501,736702,615645
