Geographic Area Name,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
Alabama,509345,1188262,1212450,888709
Alaska,40307,168648,194735,150288
Arizona,711701,1390019,1930474,1497453
Arkansas,293432,794237,728665,493531
California,4745537,6705620,9516740,9603610
Colorado,384160,982647,1360694,1701325
Connecticut,260470,771807,762294,1043028
Delaware,80203,255127,208246,220445
District of Columbia,45789,106786,102096,320570
Florida,2030598,4956955,5268007,4815890
Georgia,1025312,2280236,2381884,2328750
Hawaii,90286,313238,369523,344189
Idaho,129125,377716,474005,327992
Illinois,1051549,2624737,2981567,3227425
Indiana,593536,1692780,1559851,1278654
Iowa,198082,736938,837972,649764
Kansas,203490,574712,749239,678918
Kentucky,451046,1149525,1068888,791162
Louisiana,515535,1226585,1029324,790949
Maine,79585,347225,340643,322399
Maryland,453380,1177365,1295362,1778256
Massachusetts,520612,1316299,1414416,2283696
Michigan,731750,2272315,2688485,2139100
Minnesota,313508,1063902,1462708,1469014
Mississippi,331878,676607,792902,479421
Missouri,468561,1447406,1537218,1295541
Montana,58032,237813,292214,244281
Nebraska,128726,382756,507329,435571
Nevada,313026,684482,811928,535736
New Hampshire,78204,313831,330674,375621
New Jersey,688977,1849594,1756661,2662283
New Mexico,241819,432942,536400,404030
New York,1955839,4037055,4088171,5396459
North Carolina,960293,2113256,2635571,2377642
North Dakota,43984,152642,231826,156911
Ohio,884694,2996731,2775626,2441955
Oklahoma,361372,948383,981245,695759
Oregon,328912,772703,1176634,1039876
Pennsylvania,950521,3527606,2664585,3016731
Rhode Island,90351,247546,244306,271204
South Carolina,468363,1206118,1272900,1032337
South Dakota,57260,205817,225083,179612
Tennessee,641678,1692234,1587848,1338875
Texas,3371200,5595769,6478377,5857015
Utah,182831,534232,834425,677786
Vermont,33890,149917,145614,181351
Virginia,674099,1663235,1908830,2401881
Washington,523776,1340605,2019185,1990086
West Virginia,177684,569033,408256,287634
Wisconsin,374311,1394503,1506511,1266138
Wyoming,34692,132187,168224,109538
Puerto Rico,542927,729625,687527,641064
