Geographic Area Name,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
Alabama,638295.992,1127875.836,1169832.95,745540.3
Alaska,52281.651,156248.469,201617.992,124803.75
Arizona,725183.909,1233374.548,1738312.713,1161609.83
Arkansas,358756.904,786464.121,669204.236,412367.739
California,5248827.24,6304070.944,9163118.944,7732902.744
Colorado,411600.911,901015.596,1279363.369,1295738.215
Connecticut,314679.397,771249.769,764367.512,927125.008
Delaware,94250.78,218154.78,204780.1,185415.73
District of Columbia,64085.458,93074.472,111056.14,244299.93
Florida,2175178.287,4575437.946,4737456.441,3561251.745
Georgia,1192924.816,2166197.733,2151399.895,1815600.376
Hawaii,101539.169,317649.441,368045.823,283218.567
Idaho,136225.392,326209.9,433389.496,260508.752
Illinois,1277179.557,2706027.619,2995161.634,2794350.19
Indiana,666912.656,1715927.599,1509188.154,1031892.05
Iowa,228529.638,750061.539,807745.966,553831.806
Kansas,224009.453,592400.631,746376.738,584482.815
Kentucky,563476.606,1131141.583,1008614.856,644046.305
Louisiana,619213.43,1173829.522,1003429.375,659115.673
Maine,99033.702,350674.677,328733.46,280251.369
Maryland,512133.584,1175511.506,1285130.134,1512797.433
Massachusetts,563784.618,1347011.778,1413356.972,1858956.013
Michigan,888103.766,2308736.41,2605522.092,1773156.63
Minnesota,350189.551,1088506.411,1418594.225,1210416.212
Mississippi,421449.645,671482.853,734177.83,397547.964
Missouri,586503.424,1431687.022,1475013.457,1099780.543
Montana,64208.266,239855.765,270583.065,199804.111
Nebraska,131073.858,394835.454,503347.64,351561.936
Nevada,342347.249,610058.754,689196.489,420427.468
New Hampshire,92296.782,306276.913,321428.459,318398.528
New Jersey,815184.157,1989076.035,1755754.443,2219489.482
New Mexico,274068.709,418041.851,517882.946,357185.866
New York,2260662.804,4138263.576,4157080.102,4618358.685
North Carolina,1137245.604,2035459.257,2390263.491,1796923.389
North Dakota,49536.822,144044.507,214027.271,125045.4
Ohio,1079885.463,3033253.743,2740446.926,2006742.104
Oklahoma,410588.825,904091.651,927231.704,614349.499
Oregon,339576.853,773723.839,1096158.595,803024.467
Pennsylvania,1155853.05,3657033.384,2675523.309,2492294.52
Rhode Island,122180.024,219108.382,254069.732,236869.862
South Carolina,583151.258,1108725.784,1125717.698,782732.792
South Dakota,64584.342,192333.942,218482.074,146295.054
Tennessee,763867.902,1661937.504,1426610.55,1059864.537
Texas,3548083.243,4878539.065,5843037.909,4431264.392
Utah,195665.271,474912.166,769125.092,496440.471
Vermont,41608.188,147992.836,149969.008,161374.62
Virginia,757114.165,1629676.162,1848678.211,2001798.951
Washington,559126.798,1287434.538,1877231.414,1521419.824
West Virginia,232202.549,598706.278,383204.733,254593.775
Wisconsin,445590.383,1442766.579,1442431.467,1064797.311
Wyoming,37403.392,132982.423,166056.256,96624.929
Puerto Rico,764177.835,758121.955,715742.095,592153.115
,34781633.33,68597275.05,74802271.18,62320842.78
