Geographic Area Name,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
Alabama,510753,1191293,1202729,875911
Alaska,50452,161024,199675,143463
Arizona,714632,1362624,1872032,1434254
Arkansas,305832,781894,715425,492695
California,4848857,6715274,9535861,9379275
Colorado,378657,984589,1341678,1639871
Connecticut,276535,776073,768613,1024685
Delaware,73563,246615,217778,219670
District of Columbia,55676,102041,110909,300748
Florida,2014755,4877816,5273598,4617451
Georgia,1049468,2285888,2354580,2224678
Hawaii,85150,330712,366583,339096
Idaho,124868,371054,469248,308488
Illinois,1105570,2623056,3027866,3150441
Indiana,603474,1671151,1561814,1256348
Iowa,199405,730351,842818,642787
Kansas,206579,576905,742826,674238
Kentucky,461216,1155278,1062272,760819
Louisiana,545363,1209711,1041805,778212
Maine,87458,337497,334283,322467
Maryland,476439,1188077,1315570,1725141
Massachusetts,518907,1348863,1415858,2205607
Michigan,739553,2274943,2684186,2087768
Minnesota,321878,1077318,1445772,1433856
Mississippi,353938,690982,773797,450830
Missouri,496600,1467405,1495502,1266364
Montana,62534,240365,274802,242897
Nebraska,128319,385732,511858,419570
Nevada,310449,694148,781830,527655
New Hampshire,78820,309713,325919,370148
New Jersey,713649,1923882,1782567,2606750
New Mexico,229930,438159,541464,388795
New York,2067912,4126195,4204214,5297581
North Carolina,987543,2104201,2592356,2288129
North Dakota,42292,158422,216995,164548
Ohio,918059,3026657,2772924,2338972
Oklahoma,367155,935144,978582,688500
Oregon,318225,790634,1150246,1009897
Pennsylvania,985760,3533950,2650241,2970615
Rhode Island,95948,257892,239949,258878
South Carolina,496991,1175967,1242335,1007356
South Dakota,59272,200158,225566,171442
Tennessee,636471,1707816,1550231,1313214
Texas,3386482,5479278,6461892,5611781
Utah,179387,518613,823001,655738
Vermont,39135,149905,140690,176172
Virginia,672909,1650344,1931413,2347273
Washington,535779,1334874,2003830,1884527
West Virginia,185533,591072,396400,269449
Wisconsin,362410,1396984,1493034,1263694
Wyoming,34806,135210,160638,110599
Puerto Rico,592450,748532,708656,630745
