Geographic Area Name,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
Alabama,587161.485,1150898.922,1191408.516,794362.077
Alaska,55852.97,158855.739,198938.294,133665.763
Arizona,731808.492,1285929.301,1751190.044,1241068.238
Arkansas,345478.692,786274.903,692888.171,423109.234
California,5159487.051,6385822.496,9448363.873,8164663.58
Colorado,414875.831,894380.394,1337536.024,1384276.793
Connecticut,300952.327,766986.051,783262.767,962002.17
Delaware,85882.689,228791.61,207816.462,199662.57
District of Columbia,54021.522,102770.682,109801.794,268776.016
Florida,2112084.85,4599386.824,4954263.092,3873919.364
Georgia,1130267.632,2155806.936,2307160.194,1915023.41
Hawaii,98303.745,308746.372,377417.197,312223.761
Idaho,130708.468,336488.35,437160.789,280766
Illinois,1212052.305,2671058.805,3053952.015,2914323.21
Indiana,649448.636,1689178.44,1559263.444,1085469.48
Iowa,208702.88,748179.57,835225.51,574842.04
Kansas,224498.155,576623.54,761671.73,610922.545
Kentucky,531554.092,1120723.238,1027596.646,700836.024
Louisiana,611819.798,1169787.35,1011837.344,715838.712
Maine,90609.507,357324.686,341397.181,277795.669
Maryland,500201.46,1191189.837,1318698.873,1573701.174
Massachusetts,539457.213,1389347.847,1404119.715,1966944.225
Michigan,845323.59,2249457.727,2676911.232,1880190.451
Minnesota,340911.292,1087220.812,1432234.366,1273790.197
Mississippi,400591.948,679085.073,762689.248,412023.744
Missouri,535058.669,1454238.045,1499066.885,1156732.401
Montana,66613.337,231220.079,288257.443,205565.41
Nebraska,142974.44,372540.136,514918.232,374331.192
Nevada,329074.647,621360.806,740639.839,433923.545
New Hampshire,80775.928,309468.656,326077.228,336886.756
New Jersey,798022.463,1986238.455,1766365.736,2332902.051
New Mexico,255658.784,424204.148,527690.945,369649.123
New York,2195397.9,4106469.16,4247085.31,4862912.63
North Carolina,1091000.958,2031317.494,2475062.908,1958946.748
North Dakota,48493.695,154457.845,223007.67,136740.79
Ohio,1021626.068,3010011.108,2747120.57,2143264.254
Oklahoma,404293.642,936394.831,939488.43,625065.534
Oregon,326388.558,768130.131,1115686.017,857628.251
Pennsylvania,1109927.906,3603537.724,2675972.744,2668109.626
Rhode Island,113384.596,224983.952,250877.712,248579.076
South Carolina,540380.089,1088966.101,1192539,873137.107
South Dakota,59437.854,198764.763,225145.077,153048.306
Tennessee,711053.238,1661494.801,1494335.873,1137013.088
Texas,3485380.585,5054650.44,6052092.637,4801211.301
Utah,185019.044,477606.541,796545.317,543199.649
Vermont,43309.434,153566.022,141117.176,164137.52
Virginia,737770.334,1642996.152,1898623.026,2111123.264
Washington,572294.058,1291904.688,1907222.8,1603800.454
West Virginia,225271.062,584820.036,403095.546,257566.331
Wisconsin,422702.981,1413083.12,1466254.501,1130871.107
Wyoming,32266.566,127606.811,176819.638,106189.985
Puerto Rico,704104.456,768931.842,715993.112,609565.172
,33599737.92,68789279.39,76789905.89,66142297.12
