Geographic Area Name,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
Alabama,576210.969,1186441.631,1183128.408,798252.758
Alaska,45323.609,163737.938,204722.753,136178.7
Arizona,731077.204,1291403.197,1816084.32,1270848.279
Arkansas,328826.174,782399.991,705876.114,442834.906
California,5111680.038,6512776.18,9518371.092,8512090.319
Colorado,403520.288,930741.121,1339308.903,1431566.225
Connecticut,288479.794,784394.867,763109.697,988638.443
Delaware,85066.71,228130.006,214858.861,203716.423
District of Columbia,54830.962,105193.27,109877.542,273880.574
Florida,2093955.958,4699213.572,5079456.762,3980688.904
Georgia,1120990.618,2197144.352,2289632.154,1998154.876
Hawaii,92503.423,331585.684,374749.658,312368.235
Idaho,125752.953,349888.52,457568.947,269988.58
Illinois,1180277.528,2659785.662,3060042.552,2995740.258
Indiana,617723.306,1699413.133,1571706.291,1133024.102
Iowa,197067.693,742832.157,839015.334,602619.816
Kansas,220609.188,580206.601,755256.236,623580.454
Kentucky,517232.464,1148576.052,1034893.362,694915.914
Louisiana,593000,1186257.824,1021068.14,735040.24
Maine,93043.271,343250.621,341472.06,294351.048
Maryland,491147.67,1215118.317,1291481.421,1623421.779
Massachusetts,555490.448,1352236.071,1412893.864,2038056.596
Michigan,806481.821,2271750.701,2686670.701,1928018.302
Minnesota,335621.565,1080256.935,1437471.936,1323885.665
Mississippi,391158.184,675660.456,765080.222,429316.322
Missouri,535048.144,1453646.278,1510680.98,1175788.365
Montana,65206.131,248914.443,274044.207,210792.219
Nebraska,138822.047,385450.897,506248.735,381879.62
Nevada,332788.642,634349.776,753788.692,457303.518
New Hampshire,88190.438,304050.506,326745.977,341343.16
New Jersey,770636.097,1951529.702,1803175.17,2406764.962
New Mexico,255799.852,425767.264,530865.948,373272.608
New York,2189776.292,4112723.028,4261645.51,4970348.782
North Carolina,1036182.837,2078436.073,2525950.629,2006164.524
North Dakota,47498.854,155292.848,226427.574,143215.574
Ohio,991593.851,3022625.478,2748517.263,2194685.345
Oklahoma,387010.313,933799.254,964609.28,640339.153
Oregon,332517.683,773234.981,1132001.488,873769.848
Pennsylvania,1086419.61,3621324.478,2670466.841,2717678.936
Rhode Island,116149.346,242415.101,248536.511,234791.171
South Carolina,520749.207,1138813.008,1187369.533,898605.323
South Dakota,59992.544,196538.292,225163.126,160588.038
Tennessee,709880.884,1700416.487,1470931.322,1175154.365
Texas,3490421.206,5176169.72,6206592.724,4965185.116
Utah,193506.403,489213.568,802840.52,552125.128
Vermont,40778.998,155889.486,147120.353,161401.442
Virginia,736908.281,1634803.127,1922201.03,2164839.562
Washington,557033.716,1303970.54,1937938.398,1655149.862
West Virginia,217406.342,593083.778,397249.486,260682.744
Wisconsin,401288.994,1422681.678,1468783.72,1165867.508
Wyoming,36063.39,125526.498,177934,107254.074
Puerto Rico,667823.947,778156.658,713007.43,614263.288
