Geographic Area Name,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
Alabama,555063,1159941,1200353,848426
Alaska,43530,163646,200245,147177
Arizona,719025,1327642,1865403,1387579
Arkansas,324819,778206,709989,467874
California,5069179,6542555,9497889,9047145
Colorado,388371,993572,1342980,1555110
Connecticut,267536,784043,763838,1008873
Delaware,84940,242049,207700,213139
District of Columbia,51963,108425,107855,292145
Florida,2128066,4789274,5183587,4366372
Georgia,1087195,2215818,2336799,2159949
Hawaii,89101,331330,371104,329257
Idaho,123262,360382,452891,310148
Illinois,1112140,2600193,3056250,3110237
Indiana,617140,1685045,1563452,1189883
Iowa,207963,737226,834835,627702
Kansas,216454,582406,741063,652447
Kentucky,485882,1112624,1086536,739475
Louisiana,564896,1218718,1019588,761183
Maine,86922,353629,332811,303166
Maryland,471108,1207726,1292664,1698797
Massachusetts,529747,1347389,1411211,2144485
Michigan,778700,2263857,2689054,2005506
Minnesota,323928,1075597,1466875,1364929
Mississippi,357611,697430,767647,442885
Missouri,508153,1444627,1520449,1229707
Montana,62445,242362,279907,229132
Nebraska,132968,382764,507234,410065
Nevada,323469,677285,776491,485311
New Hampshire,81158,296574,330752,366470
New Jersey,750320,1931478,1769634,2508598
New Mexico,237154,430532,533085,390730
New York,2092385,4077153,4217782,5178583
North Carolina,1009075,2085876,2563943,2191000
North Dakota,43933,161820,220460,157145
Ohio,938471,3005269,2772903,2288759
Oklahoma,375397,938540,972988,674680
Oregon,324068,768922,1160925,971304
Pennsylvania,1023503,3532542,2660986,2892351
Rhode Island,96804,237998,247226,265758
South Carolina,517738,1137410,1240804,965203
South Dakota,62138,188825,228968,171622
Tennessee,662582,1686578,1554486,1244296
Texas,3457616,5380396,6349346,5383544
Utah,189674,510685,825299,603712
Vermont,40808,149707,147845,167550
Virginia,702025,1624765,1932402,2285056
Washington,559327,1313535,1951147,1834930
West Virginia,201608,568935,401772,281904
Wisconsin,377881,1399957,1491089,1224791
Wyoming,35275,132074,167792,109500
Puerto Rico,609560,750673,723281,631917
