Geographic Area Name,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
Alabama,489527,1198002,1209706,920353
Alaska,39537,166329,196652,149278
Arizona,713986,1417433,1945559,1562091
Arkansas,288266,807708,721986,500832
California,4669295,6697925,9398045,9855894
Colorado,367781,1004545,1362090,1768000
Connecticut,266999,770536,749341,1050979
Delaware,75735,234506,223116,236461
District of Columbia,44367,98915,116332,318234
Florida,2047281,4962087,5295245,4941169
Georgia,1011098,2295358,2403007,2404931
Hawaii,84741,324892,361057,344995
Idaho,119855,367812,500531,349512
Illinois,1018437,2598102,2960320,3280283
Indiana,561939,1762261,1556563,1284035
Iowa,188716,749892,840950,653682
Kansas,191634,596325,741031,684023
Kentucky,441533,1166967,1050999,806349
Louisiana,507775,1214637,1021077,820419
Maine,78858,348059,328262,342680
Maryland,464781,1192618,1260789,1795205
Massachusetts,484313,1344885,1395049,2316479
Michigan,716486,2314008,2632705,2180836
Minnesota,304899,1084741,1440028,1507295
Mississippi,335628,683183,796904,462014
Missouri,455080,1497453,1475564,1336636
Montana,56734,246395,280472,258653
Nebraska,118539,380874,510338,449561
Nevada,315244,700143,808574,565458
New Hampshire,79687,314830,325506,383668
New Jersey,671261,1886994,1693567,2692344
New Mexico,231868,448196,533199,409716
New York,1875373,4022614,4042580,5490898
North Carolina,940238,2159746,2664429,2429699
North Dakota,40487,155899,225231,163739
Ohio,877037,3007573,2765042,2464601
Oklahoma,358860,961643,965048,719191
Oregon,307059,801689,1174669,1071504
Pennsylvania,948737,3501253,2648470,3071204
Rhode Island,90345,247427,244106,273908
South Carolina,475522,1181404,1280353,1099135
South Dakota,57510,204526,224043,183311
Tennessee,630805,1697448,1570468,1419701
Texas,3274474,5711518,6569186,6044072
Utah,171951,562247,851138,690314
Vermont,36021,150511,143796,180102
Virginia,662746,1661552,1922752,2430864
Washington,533718,1384425,2000756,2033029
West Virginia,183495,574786,390153,284895
Wisconsin,346861,1404879,1484811,1322471
Wyoming,27502,135933,162708,118427
Puerto Rico,517066,732327,709927,661640
