state,year,quarter,genericind,drugtype,imprx,adjmedamt,unadjmedamt,percap_rx,percap_adjmedamt,percap_unadjmedamt,futurerevision
AL,2015,all,all,all,19202,5507507.358010001,7207405.439999999,36.27123334376967,10403.29572570092,13614.2841640139,no
AL,2015,all,all,bup,17929,5419761.6044,7070231.23,33.86662548799325,10237.55014169336,13355.17168720642,no
AL,2015,all,all,naloxone,103,9825.048849999999,15393.88,.1945597872309278,18.55882926009196,29.07796133454791,no
AL,2015,all,all,naltrexone,1170,77920.70475999999,121780.33,2.210048068545491,147.1867547474713,230.0345154729337,no
AL,2016,all,all,all,24615,6559958.144139761,9982274.57,46.97391059892988,12518.66290455182,19049.6231251331,no
AL,2016,all,all,bup,22929,6573160.8043,9582823.15,43.75644103688253,12543.85813420996,18287.33203060961,no
AL,2016,all,all,naloxone,230,-84092.12856023837,291468.16,.4389193352733647,-160.4767876929659,556.2217871328293,no
AL,2016,all,all,naltrexone,1456,70889.4684,107983.26,2.778550226773996,135.2815580348269,206.0693073906561,no
AL,2017,all,all,all,28504,9024951.303540001,11468329.44,56.46351526436631,17877.50756692371,22717.59031687558,no
AL,2017,all,all,bup,26732,8940679.623399999,11335561.48,52.95336409090093,17710.57396820287,22454.59053663145,no
AL,2017,all,all,naloxone,238,9848.50484,14529,.4714537129146499,19.50888308183151,28.7804663652813,no
AL,2017,all,all,naltrexone,1534,74423.1753,118238.96,3.038697460550727,147.4247156390036,234.219313878852,no
AL,2018,all,all,all,33417,11052165.55598925,14008587.02,69.52556040120182,22994.52386291448,29145.49070815758,no
AL,2018,all,all,bup,31119,10931224.961,13815054.66,64.7444688070443,22742.90155564924,28742.83799292979,no
AL,2018,all,all,naloxone,601,35823.89884925158,63952.7,1.250407331631274,74.53322091301389,133.056447516831,no
AL,2018,all,all,naltrexone,1697,85116.69613999999,129579.66,3.530684262526244,177.0890863522253,269.5962677109614,no
AL,2019,,,,,,,,,,yes
AR,2010,all,all,all,1283,91572.61254999999,365757.91,4.252202329265625,303.4959285908407,1212.218734878665,no
AR,2010,all,all,bup,1002,74252.80660000001,347475.38,3.320893791055461,246.0934974115589,1151.625580824987,no
AR,2010,all,all,naloxone,63,249.46735,360.8100000000001,.2087987114136667,.8268009717425744,1.195820048653414,no
AR,2010,all,all,naltrexone,218,17070.3386,17921.72,.7225098267964974,56.57563020753928,59.39733400502443,no
AR,2011,all,all,all,906,73693.06764999998,266074.99,2.912164958394774,236.8723722813967,855.2475300035759,no
AR,2011,all,all,bup,639,63544.02499999997,254901.83,2.053944159397638,204.2502018988536,819.3335288705317,no
AR,2011,all,all,naloxone,41,398.38185,570.9999999999999,.1317867144527436,1.280522807539164,1.8353710720126,no
AR,2011,all,all,naltrexone,226,9750.6608,10602.16,.7264340845443916,31.34164757500392,34.07863006103171,no
AR,2012,all,all,all,1060,129827.2601547383,307813.35,3.156521595093098,386.6061795379255,916.6221571065566,no
AR,2012,all,all,bup,753,117084.8321047383,293861.74,2.242321472740663,348.6611330155245,875.076347435503,no
AR,2012,all,all,naloxone,15,-19.87495000000001,91.96000000000001,.0446677584211287,-.0591846310154675,.2738431376271333,no
AR,2012,all,all,naltrexone,292,12762.303,13859.65,.8695323639313062,38.00423115341644,41.27196653342647,no
AR,2013,all,all,all,1257,200108.6003947495,339158.14,3.707992288659235,590.2952642467172,1000.473960028647,no
AR,2013,all,all,bup,963,187982.0871947494,326026.9300000001,2.840729175798602,554.5235717774057,961.738538055087,no
AR,2013,all,all,naloxone,12,23.0415,96.8,.0353984944024748,.0679695340645519,.28554785484663,no
AR,2013,all,all,naltrexone,282,12103.4717,13034.41,.8318646184581577,35.70372293524684,38.44987411871346,no
AR,2014,all,all,all,2309,596988.4806499999,757779.65,2.944714077222225,761.3514001340678,966.4116079634175,no
AR,2014,all,all,bup,2030,585073.3975,744851.64,2.588899773391562,746.1558552734883,949.9242571459772,no
AR,2014,all,all,naloxone,22,7.621499999999985,155.88,.0280570418791204,.0097198520309871,.198796894914422,no
AR,2014,all,all,naltrexone,257,11907.46165,12772.13,.3277572619515426,15.18582500854863,16.2885539225259,no
AR,2015,all,all,all,3173,854002.1136,1084775.99,4.114637989987023,1107.440762731728,1406.700440932803,no
